tD/rD2	pD	pD'	pD/2pD'
112.2018454	2.765802512	0.498887177	2.77197194
114.8153622	2.777290106	0.49891248	2.78334399
117.4897555	2.788778276	0.498937209	2.79471868
120.2264435	2.800267009	0.498961376	2.80609597
123.0268771	2.811756293	0.498984993	2.81747581
125.8925412	2.823246113	0.499008075	2.82885814
128.8249552	2.83473646	0.499030632	2.84024294
131.8256739	2.846227319	0.499052677	2.85163015
134.8962883	2.857718681	0.49907422	2.86301973
138.0384265	2.869210533	0.499095275	2.87441164
141.2537545	2.880702864	0.49911585	2.88580583
144.5439771	2.892195664	0.499135959	2.89720227
147.9108388	2.903688921	0.49915561	2.90860091
151.3561248	2.915182625	0.499174815	2.92000171
154.8816619	2.926676767	0.499193583	2.93140463
158.4893192	2.938171336	0.499211925	2.94280965
162.1810097	2.949666323	0.49922985	2.95421670
165.9586907	2.961161717	0.499247368	2.96562577
169.8243652	2.97265751	0.499264487	2.97703681
173.7800829	2.984153694	0.499281217	2.98844979
177.827941	2.995650257	0.499297567	2.99986466
181.9700859	3.007147194	0.499313546	3.01128141
186.2087137	3.018644493	0.499329161	3.02269999
190.5460718	3.030142148	0.499344421	3.03412036
194.98446	3.041640151	0.499359334	3.04554250
199.5262315	3.053138493	0.499373908	3.05696638
204.1737945	3.064637167	0.499388151	3.06839195
208.9296131	3.076136165	0.49940207	3.07981920
213.796209	3.08763548	0.499415673	3.09124808
218.7761624	3.099135104	0.499428966	3.10267857
223.8721139	3.110635031	0.499441957	3.11411065
229.0867653	3.122135254	0.499454653	3.12554427
234.4228815	3.133635766	0.49946706	3.13697941
239.8832919	3.14513656	0.499479185	3.14841605
245.4708916	3.15663763	0.499491034	3.15985415
251.1886432	3.16813897	0.499502614	3.17129369
257.0395783	3.179640573	0.49951393	3.18273464
263.0267992	3.191142434	0.499524989	3.19417697
269.1534804	3.202644547	0.499535797	3.20562067
275.4228703	3.214146906	0.499546358	3.21706570
281.8382931	3.225649505	0.49955668	3.22851203
288.4031503	3.23715234	0.499566767	3.23995966
295.1209227	3.248655404	0.499576624	3.25140854
301.995172	3.260158692	0.499586257	3.26285866
309.0295433	3.271662199	0.499595671	3.27430999
316.227766	3.283165921	0.499604872	3.28576252
323.5936569	3.294669852	0.499613862	3.29721621
331.1311215	3.306173988	0.499622649	3.30867105
338.8441561	3.317678324	0.499631235	3.32012702
346.7368505	3.329182855	0.499639626	3.33158409
354.8133892	3.340687577	0.499647826	3.34304224
363.0780548	3.352192487	0.49965584	3.35450146
371.5352291	3.363697578	0.499663671	3.36596172
380.1893963	3.375202848	0.499671325	3.37742300
389.045145	3.386708291	0.499678804	3.38888529
398.1071706	3.398213906	0.499686113	3.40034856
407.3802778	3.409719686	0.499693256	3.41181280
416.8693835	3.421225629	0.499700236	3.42327798
426.5795188	3.432731731	0.499707057	3.43474410
436.5158322	3.444237988	0.499713724	3.44621113
446.6835922	3.455744397	0.499720238	3.45767905
457.0881896	3.467250955	0.499726605	3.46914785
467.7351413	3.478757657	0.499732826	3.48061752
478.6300923	3.490264501	0.499738906	3.49208803
